OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OSCAR 7 (AO-7),1974-089B,2024-12-31T23:00:45.972288,12.53684506,.0012384,101.9905,3.5441,67.1464,307.9019,0,U,7530,999,29382,.11122E-3,-.29E-6,0
PHASE 3B (AO-10),1983-058B,2024-12-31T02:12:46.883520,2.05871509,.6043467,27.2164,308.0831,329.3267,6.2135,0,U,14129,999,28451,0,-.83E-6,0
UOSAT 2 (UO-11),1984-021B,2024-12-31T20:37:30.442368,14.88376145,.0008904,97.7330,330.7146,135.4735,224.7199,0,U,14781,999,17787,.58884E-3,.5406E-4,0
LUSAT (LO-19),1990-005G,2024-12-31T20:53:03.892416,14.33814123,.0011143,98.8952,2.5131,331.4527,28.6045,0,U,20442,999,82616,.29108E-3,.763E-5,0
EYESAT A (AO-27),1993-061C,2024-12-31T10:06:01.454688,14.30694791,.0007787,98.7625,60.9973,216.3024,143.7630,0,U,22825,999,63081,.20982E-3,.504E-5,0
ITAMSAT (IO-26),1993-061D,2024-12-31T21:42:55.938240,14.31097894,.0008585,98.7570,61.3569,199.0043,161.0820,0,U,22826,999,63117,.2466E-3,.605E-5,0
RADIO ROSTO (RS-15),1994-085A,2024-12-31T21:24:07.233696,11.27579951,.0145868,64.8171,84.0480,105.6743,256.0327,0,U,23439,999,23588,-.52597E-3,-.61E-6,0
JAS-2 (FO-29),1996-046B,2024-12-31T03:56:02.059008,13.53228207,.0350575,98.5889,275.0438,38.2228,324.3219,0,U,24278,999,40107,.11594E-3,.8E-6,0
TECHSAT 1B (GO-32),1998-043D,2024-12-31T15:51:57.959136,14.24224065,.0000882,98.9502,336.6298,1.0306,359.0874,0,U,25397,999,37552,.21912E-3,.459E-5,0
ISS (ZARYA),1998-067A,2024-12-31T19:30:49.950432,15.50544003,.0006091,51.6382,56.2039,28.0496,332.0820,0,U,25544,999,48920,.48311E-3,.27763E-3,0
PCSAT (NO-44),2001-043C,2024-12-31T17:40:54.120864,14.31561545,.0006454,67.0494,181.0680,260.5488,99.4885,0,U,26931,999,21422,.3463E-3,.84E-5,0
SAUDISAT 1C (SO-50),2002-058C,2024-12-31T21:01:52.677696,14.80640120,.0037034,64.5563,333.1584,16.8171,343.4152,0,U,27607,999,18557,.77113E-3,.5872E-4,0
CUTE-1 (CO-55),2003-031E,2024-12-31T22:55:56.846784,14.23737601,.0008725,98.6776,11.3005,293.8546,66.1718,0,U,27844,999,11592,.62873E-3,.1393E-4,0
