OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,DEBRIS_TYPE,ORBITAL_PERIOD,ORBITAL_PERIOD_HOURS,ALTITUDE,PERIGEE,APOGEE
COSMOS 1408 DEB,1982-092Q,2024-12-31T16:09:04.741056,15.02988557,0.0207441,82.3607,185.9418,155.6524,205.4678,0,U,49527,999,16419,0.0085229,0.00187673,0.0,6935.823910909575,COSMOS 1408,5748.549946010908,1.5968194294474745,564.8239109095748,6791.9464861192755,7079.701335699873
COSMOS 1408 DEB,1982-092AA,2024-12-31T18:47:10.308480,15.34243859,0.0086495,82.5464,96.6478,86.1757,274.9369,0,U,49537,999,17200,0.0010655,0.00040069,0.0,6841.304363522323,COSMOS 1408,5631.441662623831,1.5642893507288418,470.304363522323,6782.130501430037,6900.478225614609
COSMOS 1408 DEB,1982-092DL,2024-12-31T17:37:16.525056,15.58660871,0.0077664,81.9048,115.8172,178.5174,181.6326,0,U,49619,999,16460,0.017572,0.01733561,0.0,6769.668763346688,COSMOS 1408,5543.2229992751,1.5397841664653056,398.66876334668814,6717.092807863033,6822.244718830343
COSMOS 1408 DEB,1982-092RU,2024-12-31T13:02:09.647808,15.41290049,0.001796,82.5643,52.163,32.598,327.6371,0,U,50032,999,17263,0.00022165,9.316e-05,0.0,6820.437888932628,COSMOS 1408,5605.696860109528,1.557138016697091,449.4378889326281,6808.188382484105,6832.68739538115
COSMOS 1408 DEB,1982-092SW,2024-12-31T13:12:07.162560,15.46254929,0.0023034,82.6145,66.5052,294.4302,65.4544,0,U,50058,999,17426,0.00058167,0.00029003,0.0,6805.830205737659,COSMOS 1408,5587.697491632288,1.5521381921200799,434.8302057376586,6790.153656441763,6821.506755033554
COSMOS 1408 DEB,1982-092ABM,2024-12-31T13:41:33.326304,15.66589702,0.0047148,82.5022,96.6036,97.7651,262.8966,0,U,50351,999,17174,0.0028018,0.00321155,0.0,6746.807666278743,COSMOS 1408,5515.16761355384,1.5319910037649556,375.80766627874345,6714.997817493772,6778.617515063714
COSMOS 1408 DEB,1982-092ADS,2024-12-31T19:12:45.660672,14.63562645,0.0341074,82.2289,194.4394,260.2045,96.0494,0,U,50404,999,16052,0.0066187,0.00081836,0.0,7059.830873014965,COSMOS 1408,5903.406197004543,1.6398350547234841,688.8308730149647,6819.038397496694,7300.623348533235
COSMOS 1408 DEB,1982-092ALR,2024-12-31T21:46:44.516352,15.40737993,0.003924,82.5757,69.57,334.9474,24.9867,0,U,50621,999,16899,0.00064904,0.00027352,0.0,6822.066995183106,COSMOS 1408,5607.705416139084,1.5576959489275235,451.066995183106,6795.297204294007,6848.836786072205
COSMOS 1408 DEB,1982-092APM,2024-12-31T12:37:35.109984,15.79765159,0.0019982,82.4994,36.1093,208.189,151.8297,0,U,50689,999,16933,0.00081958,0.0015432,0.0,6709.242463914084,COSMOS 1408,5469.17036305987,1.5192139897388528,338.2424639140836,6695.836055622691,6722.648872205477
COSMOS 1408 DEB,1982-092AZJ,2024-12-31T19:37:43.638816,15.68741689,0.0011545,82.4842,32.6414,211.3061,148.7514,0,U,51184,999,16726,0.00075019,0.00086512,0.0,6740.636111061853,COSMOS 1408,5507.60195179422,1.5298894310539501,369.6361110618527,6732.854046671632,6748.418175452073
COSMOS 1408 DEB,1982-092BKH,2024-12-31T14:40:28.776288,15.70091312,0.0025573,82.5423,66.1311,338.8326,21.1875,0,U,51435,999,16462,0.0013874,0.00173274,0.0,6736.772802274415,COSMOS 1408,5502.867713592801,1.5285743648868892,365.77280227441497,6719.544853187159,6754.000751361672
COSMOS 1408 DEB,1982-092BUU,2024-12-30T17:22:17.695488,15.44865342,0.008207,82.5088,106.6281,146.1917,214.4604,0,U,52066,999,15635,0.0040083,0.00218642,0.0,6809.910766764098,COSMOS 1408,5592.723555447178,1.5535343209575494,438.9107667640983,6754.021829101265,6865.799704426931
FENGYUN 1C,1999-025A,2024-12-31T14:09:29.908800,14.23496123,0.0013286,98.9207,61.8225,336.3447,171.414,0,U,25730,999,32207,0.0034789,7.879e-05,0.0,7191.6903889920495,FENGYUN 1C,6069.5667860258445,1.685990773896068,820.6903889920495,7182.135509141234,7201.245268842864
FENGYUN 1C DEB,1999-025X,2024-12-31T19:00:53.472384,12.9543562,0.0571225,99.2339,109.3793,279.373,241.6276,0,U,29733,999,84638,0.0066677,3.932e-05,0.0,7658.1632203483,FENGYUN 1C,6669.57481700045,1.8526596713890138,1287.1632203482995,7220.709791793954,8095.6166489026455
FENGYUN 1C DEB,1999-025Y,2024-12-31T18:09:18.611424,12.89528406,0.0618752,99.1508,347.8697,84.0479,84.3786,0,U,29734,999,84085,0.008199,4.961e-05,0.0,7681.532973229731,FENGYUN 1C,6700.127541197694,1.8611465392215816,1310.5329732297314,7206.236584204547,8156.829362254915
FENGYUN 1C DEB,1999-025Z,2024-12-31T15:19:37.902432,12.73324723,0.0707179,99.388,333.7455,221.4737,133.0583,0,U,29735,999,83007,0.0034881,1.989e-05,0.0,7746.5630563451305,FENGYUN 1C,6785.389957591644,1.8848305437754567,1375.5630563451305,7198.742384782821,8294.38372790744
FENGYUN 1C DEB,1999-025AA,2024-12-28T16:01:21.273312,12.56846243,0.0728519,99.4382,243.5638,226.8299,157.0102,0,U,29736,999,82158,0.0017254,7.5e-06,0.0,7814.125952350826,FENGYUN 1C,6874.353037468053,1.9095425104077925,1443.125952350826,7244.852029882759,8383.399874818893
FENGYUN 1C DEB,1999-025AB,2024-12-30T19:11:37.263840,12.64406781,0.0704161,99.5631,12.4935,169.1444,4.6051,0,U,29737,999,82481,0.0045707,2.197e-05,0.0,7782.945042648563,FENGYUN 1C,6833.2477475042615,1.8981243743067393,1411.9450426485628,7234.900406230918,8330.98967906621
FENGYUN 1C DEB,1999-025AC,2024-12-31T14:34:05.792736,12.58711608,0.0869675,99.4286,230.6371,324.1675,30.394,0,U,29738,999,81857,0.020117,0.00014861,0.0,7806.403876554991,FENGYUN 1C,6864.1654953239795,1.9067126375899943,1435.4038765549913,7127.500447420695,8485.307305689288
FENGYUN 1C DEB,1999-025AE,2024-12-31T19:02:52.557504,12.07174269,0.0982593,99.0578,310.8427,167.2931,195.4952,0,U,29740,999,78758,0.0023788,8.96e-06,0.0,8027.035704866511,FENGYUN 1C,7157.2141736872645,1.9881150482464625,1656.035704866511,7238.304795431321,8815.766614301701
FENGYUN 1C DEB,1999-025AF,2024-12-31T20:45:38.547072,11.99799206,0.1022067,99.1798,333.3506,21.7076,6.6841,0,U,29741,999,48033,0.016701,6.331e-05,0.0,8059.896430997165,FENGYUN 1C,7201.208956457138,2.0003358212380937,1688.8964309971652,7236.121014443167,8883.671847551163
FENGYUN 1C DEB,1999-025AN,2024-12-29T18:02:49.795008,11.82930434,0.0764491,100.287,14.4721,290.8163,61.2659,0,U,29748,999,74610,0.079206,0.00011479,0.0,8136.339049547728,FENGYUN 1C,7303.899316362808,2.028860921211891,1765.3390495477279,7514.323251914949,8758.354847180508
