OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2024-12-31T20:41:05.277696,14.33058167,0.0024117,74.0378,227.7731,34.4982,325.7728,0,U,22675,999,64818,1.45E-04,3.73E-06,0
COSMOS 2251 DEB,1993-036E,2024-12-31T15:25:10.631424,14.32457839,0.001528,74.0354,235.3647,332.8516,57.8406,0,U,33757,999,83040,1.32E-04,3.31E-06,0
COSMOS 2251 DEB,1993-036F,2024-12-31T20:36:55.737216,14.48160983,0.0018739,74.0297,144.8854,300.637,221.0373,0,U,33758,999,83291,3.14E-03,1.17E-04,0
COSMOS 2251 DEB,1993-036G,2024-12-31T15:25:05.949408,15.05933077,0.0008876,74.0013,321.0754,244.6497,288.6545,0,U,33759,999,83914,7.71E-03,1.14E-03,0
COSMOS 2251 DEB,1993-036H,2024-12-31T19:50:42.669600,14.35349105,0.0020086,74.0302,196.1567,19.1139,352.863,0,U,33760,999,83161,3.08E-04,8.59E-06,0
COSMOS 2251 DEB,1993-036J,2024-12-31T22:25:01.422336,14.41056868,0.0023497,74.0355,173.0655,340.3959,172.7177,0,U,33761,999,83250,1.60E-03,5.15E-05,0
COSMOS 2251 DEB,1993-036K,2024-12-31T22:34:54.255072,14.33512386,0.0015034,74.04,222.1532,8.3643,53.8804,0,U,33762,999,83092,1.60E-04,4.16E-06,0
COSMOS 2251 DEB,1993-036M,2024-12-31T22:01:27.657408,14.384523,0.0023875,74.0326,190.7571,239.8701,264.3043,0,U,33764,999,83182,1.12E-03,3.41E-05,0
COSMOS 2251 DEB,1993-036N,2024-12-31T20:35:49.089120,14.89333186,0.0101944,74.0138,155.93,338.9942,182.6059,0,U,33765,999,84436,2.73E-03,2.86E-04,0
COSMOS 2251 DEB,1993-036P,2024-12-31T20:13:18.890400,14.33345256,0.0066665,74.188,42.3946,342.106,17.7745,0,U,33766,999,82786,1.70E-03,4.77E-05,0
