OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CUTE-1 (CO-55),2003-031E,2024-12-31T22:55:56.846784,14.23737601,.0008725,98.6776,11.3005,293.8546,66.1718,0,U,27844,999,11592,.62873E-3,.1393E-4,0
CUBESAT XI-IV (CO-57),2003-031J,2024-12-30T11:53:16.911168,14.23107145,.0008828,98.6804,9.9829,316.8669,43.1817,0,U,27848,999,11545,.54607E-3,.1189E-4,0
CUBESAT XI-V,2005-043F,2024-12-31T08:06:46.766592,14.69783433,.0016001,98.2250,143.0623,94.5347,265.7687,0,U,28895,999,2339,.99531E-3,.5903E-4,0
CUTE-1.7+APD II (CO-65),2008-021C,2024-12-31T19:48:51.446880,15.01274184,.0011784,97.7702,331.3677,53.0196,307.2105,0,U,32785,999,90508,.10726E-2,.13768E-3,0
AAUSAT-II,2008-021F,2024-12-30T16:59:13.873344,15.39440892,.0004057,97.6043,349.3562,130.9842,229.1754,0,U,32788,999,90830,.25735E-2,.101973E-2,0
CANX-2,2008-021H,2024-12-30T15:50:39.171840,14.99077033,.0013596,97.7953,328.7501,48.4298,311.8088,0,U,32790,999,90476,.10983E-2,.13317E-3,0
SEEDS II (CO-66),2008-021J,2024-12-31T16:02:11.554656,15.12036772,.000549,97.7126,338.0770,23.8385,336.3098,0,U,32791,999,90627,.1627E-2,.27992E-3,0
SWISSCUBE,2009-051B,2024-12-31T15:26:40.078752,14.60509912,.0008256,98.4477,253.7997,69.3645,290.8439,0,U,35932,999,81136,.9843E-3,.4731E-4,0
BEESAT-1,2009-051C,2024-12-31T15:04:25.309344,14.60045994,.0006696,98.4407,254.4097,80.7718,279.4238,0,U,35933,999,81142,.8501E-3,.4037E-4,0
ITUPSAT1,2009-051E,2025-01-01T03:11:49.021728,14.58904949,.000892,98.4504,254.5880,86.2111,274.0107,0,U,35935,999,81114,.8306E-3,.3846E-4,0
TISAT 1,2010-035E,2024-12-31T11:37:54.499584,15.10256456,.0002529,98.0699,265.2486,312.4200,47.6813,0,U,36799,999,78675,.16766E-2,.27451E-3,0
AEROCUBE 4.5A,2012-048K,2024-12-30T12:34:23.837664,15.21795555,.0111027,64.6528,37.8514,317.9001,41.3633,0,U,38767,999,29021,.16017E-2,.43329E-3,0
AEROCUBE 4.5B,2012-048L,2024-12-31T19:00:57.813120,15.60271200,.0058234,64.6437,295.8758,305.5741,53.9983,0,U,38768,999,29182,.21886E-2,.199707E-2,0
STRAND-1,2013-009E,2024-12-31T23:33:35.608896,14.36553485,.0009299,98.3766,189.8964,27.9918,332.1767,0,U,39090,999,62065,.48346E-3,.1379E-4,0
BRITE-AUSTRIA,2013-009F,2024-12-31T14:04:40.293408,14.36131145,.0010945,98.3817,188.7842,35.6986,324.4930,0,U,39091,999,62059,.3262E-3,.908E-5,0
NEE-01 PEGASO,2013-018B,2024-12-31T01:52:41.337408,14.88854579,.0014985,98.0538,125.7846,115.1713,245.1060,0,U,39151,999,63123,.97301E-3,.9089E-4,0
ESTCUBE 1,2013-021C,2024-12-31T15:12:07.422336,14.78502856,.0007665,97.8050,67.0985,316.4533,43.6073,0,U,39161,999,62624,.88285E-3,.6402E-4,0
POPACS 1,2013-055D,2024-12-31T01:21:51.270624,15.16778884,.0319531,80.9799,281.3107,167.5622,193.3743,0,U,39268,999,59159,.85584E-3,.67199E-3,.93746E-7
POPACS 2,2013-055E,2024-12-31T18:35:14.905248,14.67293262,.0510976,80.9974,23.2779,75.9267,289.8161,0,U,39269,999,58446,.54243E-3,.25944E-3,0
POPACS 3,2013-055F,2024-12-31T12:41:59.207136,14.42945905,.0603196,81.0079,81.3764,238.0422,116.0776,0,U,39270,999,56136,.54248E-3,.2046E-3,0
ZACUBE-1 (TSHEPISOSAT),2013-066B,2024-12-31T20:33:39.576384,14.93714349,.0045169,97.7607,319.2531,223.8959,135.8669,0,U,39417,999,60104,.11367E-2,.12228E-3,0
