OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE,ORBITAL_PERIOD,ORBITAL_PERIOD_HOURS,ALTITUDE,PERIGEE,APOGEE
GRBALPHA,2021-022AD,2025-01-01T03:21:35.540352,15.45697971,0.0010713,97.4392,267.4165,132.5483,227.6672,0,U,47959,999,20775,0.0020857,0.00101987,0.0,6807.46499426965,CubeSat,5589.7108945595955,1.5526974707109988,436.46499426964965,6800.1721570212885,6814.757831518011
BRITE-PL2 (HEWELIUSZ),2014-049B,2024-12-31T20:44:09.452256,14.91148914,0.001626,97.8868,106.0084,74.366,285.9351,0,U,40119,999,56201,0.00064812,6.393e-05,0.0,6972.488879611159,CubeSat,5794.193126574186,1.6094980907150516,601.4888796111591,6961.151612692911,6983.826146529406
DELFI-N3XT,2013-066N,2024-12-31T11:50:07.322784,14.84280922,0.0091025,97.8385,280.3747,165.2058,195.1852,0,U,39428,999,59529,0.0016651,0.00014993,0.0,6993.980832523326,CubeSat,5821.003733279382,1.616945481466495,622.9808325233262,6930.318121995282,7057.64354305137
AEROCUBE 8C,2016-067F,2024-12-31T23:39:16.751520,15.1360596,0.0007736,98.0924,186.0144,88.2242,271.9874,0,U,41853,999,44524,0.0011153,0.00020007,0.0,6903.350994090944,CubeSat,5708.225929684741,1.585618313801317,532.3509940909444,6898.010561761916,6908.691426419973
STRAND-1,2013-009E,2024-12-31T23:33:35.608896,14.36553485,0.0009299,98.3766,189.8964,27.9918,332.1767,0,U,39090,999,62065,0.00048346,1.379e-05,0.0,7148.04549448584,CubeSat,6014.398265301875,1.6706661848060764,777.0454944858402,7141.398526980518,7154.692461991162
SHIELDS 1,2018-104B,2024-12-31T18:36:49.996224,15.48903673,0.0009781,85.0201,148.0045,45.8425,314.3634,0,U,43850,999,33662,0.00075666,0.00041035,0.0,6798.068998442889,CubeSat,5578.142100640085,1.549483916844468,427.0689984428891,6791.419807155512,6804.718189730266
SITRO-AIS 6 (CHIRKIN),2023-091AC,2025-01-01T02:16:33.552192,15.14910196,0.0015921,97.5848,58.1393,157.8817,202.3105,0,U,57192,999,8339,0.001123,0.00020956,0.0,6899.388210765036,CubeSat,5703.311530287808,1.5842532028577243,528.3882107650361,6888.403694794677,6910.372726735396
ZACUBE-1 (TSHEPISOSAT),2013-066B,2024-12-31T20:33:39.576384,14.93714349,0.0045169,97.7607,319.2531,223.8959,135.8669,0,U,39417,999,60104,0.0011367,0.00012228,0.0,6964.503153209536,CubeSat,5784.241675111176,1.6067337986419934,593.5031532095363,6933.045188916803,6995.961117502269
QB50P2,2014-033Y,2024-12-31T20:01:45.882048,15.04226241,0.0009018,98.0264,325.4761,168.2118,191.932,0,U,40032,999,57232,0.0013245,0.00018397,0.0,6932.018837937602,CubeSat,5743.820013705878,1.595505559362744,561.0188379376023,6925.767543349551,6938.270132525655
PERSEUS-M2,2014-033AD,2024-12-31T21:07:43.113504,14.92491894,0.0011128,97.943,298.763,262.7127,97.2827,0,U,40037,999,57129,0.00058318,5.935e-05,0.0,6968.305576940253,CubeSat,5788.979372639302,1.6080498257331395,597.3055769402526,6960.551246494233,6976.059907386272
UWE-3,2013-066AG,2024-12-31T19:43:44.558400,14.90232085,0.005433,97.8065,313.1254,289.3921,70.1429,0,U,39446,999,59809,0.0013607,0.00013531,0.0,6975.348355782979,CubeSat,5797.7578627944795,1.6104882952206887,604.3483557829786,6937.451288166009,7013.245423399948
LMRST-SAT,2015-058H,2024-12-31T14:14:15.512640,14.85590153,0.0184101,64.7768,124.2939,246.2906,111.8794,0,U,40971,999,3428,0.0011096,0.0001295,0.0,6989.871093382615,CubeSat,5815.873759495335,1.6155204887487042,618.8710933826151,6861.186867566332,7118.555319198899
CORVUS BC2,2017-042X,2024-12-31T10:07:35.731776,15.00873902,0.0013425,97.3662,180.9862,110.3745,249.8924,0,U,42846,999,40699,0.0007389,9.369e-05,0.0,6942.337197469258,CubeSat,5756.649360538592,1.5990692668162756,571.3371974692582,6933.017109781656,6951.657285156861
SITRO-AIS 34,2024-039H,2025-01-01T03:15:09.163008,15.50101735,0.0007994,97.4109,330.4987,208.2278,151.8541,0,U,59058,999,4700,0.0019547,0.0011136,0.0,6794.565762728206,CubeSat,5573.830796465346,1.548286332351485,423.5657627282062,6789.134186857481,6799.9973385989315
PROPCUBE 3,2015-058K,2024-12-31T19:33:57.391776,14.8802174,0.0179738,64.7709,109.3389,247.7802,110.4157,0,U,40973,999,3539,0.0013049,0.00016103,0.0,6982.254218977259,CubeSat,5806.369998463437,1.6128805551287324,611.2542189772594,6856.756578096206,7107.751859858313
