OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C,1999-025A,2024-12-31T14:09:29.908800,14.23496123,.0013286,98.9207,61.8225,336.3447,171.4140,0,U,25730,999,32207,.34789E-2,.7879E-4,0
FENGYUN 1C DEB,1999-025X,2024-12-31T19:00:53.472384,12.95435620,.0571225,99.2339,109.3793,279.3730,241.6276,0,U,29733,999,84638,.66677E-2,.3932E-4,0
FENGYUN 1C DEB,1999-025Y,2024-12-31T18:09:18.611424,12.89528406,.0618752,99.1508,347.8697,84.0479,84.3786,0,U,29734,999,84085,.8199E-2,.4961E-4,0
FENGYUN 1C DEB,1999-025Z,2024-12-31T15:19:37.902432,12.73324723,.0707179,99.3880,333.7455,221.4737,133.0583,0,U,29735,999,83007,.34881E-2,.1989E-4,0
FENGYUN 1C DEB,1999-025AA,2024-12-28T16:01:21.273312,12.56846243,.0728519,99.4382,243.5638,226.8299,157.0102,0,U,29736,999,82158,.17254E-2,.75E-5,0
FENGYUN 1C DEB,1999-025AB,2024-12-30T19:11:37.263840,12.64406781,.0704161,99.5631,12.4935,169.1444,4.6051,0,U,29737,999,82481,.45707E-2,.2197E-4,0
FENGYUN 1C DEB,1999-025AC,2024-12-31T14:34:05.792736,12.58711608,.0869675,99.4286,230.6371,324.1675,30.3940,0,U,29738,999,81857,.20117E-1,.14861E-3,0
FENGYUN 1C DEB,1999-025AE,2024-12-31T19:02:52.557504,12.07174269,.0982593,99.0578,310.8427,167.2931,195.4952,0,U,29740,999,78758,.23788E-2,.896E-5,0
FENGYUN 1C DEB,1999-025AF,2024-12-31T20:45:38.547072,11.99799206,.1022067,99.1798,333.3506,21.7076,6.6841,0,U,29741,999,48033,.16701E-1,.6331E-4,0
FENGYUN 1C DEB,1999-025AN,2024-12-29T18:02:49.795008,11.82930434,.0764491,100.2870,14.4721,290.8163,61.2659,0,U,29748,999,74610,.79206E-1,.11479E-3,0
FENGYUN 1C DEB,1999-025AQ,2024-12-31T13:47:33.921888,14.09213443,.0036102,98.7940,38.5523,197.7411,316.1308,0,U,29750,999,92197,.76472E-3,.1294E-4,0
FENGYUN 1C DEB,1999-025AR,2024-12-31T20:34:49.221696,14.23210013,.0090551,98.5803,38.0098,66.5856,105.8918,0,U,29751,999,93152,.50109E-3,.114E-4,0
FENGYUN 1C DEB,1999-025AU,2024-12-31T12:50:33.637920,14.17280338,.0037972,98.8779,103.1045,150.1783,222.4409,0,U,29754,999,92447,.30646E-2,.6195E-4,0
FENGYUN 1C DEB,1999-025AW,2024-12-31T20:36:40.602528,15.43734284,.0005114,99.1996,242.6864,82.5996,277.5828,0,U,29756,999,94378,.23264E-1,.115109E-1,0
FENGYUN 1C DEB,1999-025AY,2024-12-31T18:49:22.396800,14.33832864,.002566,98.8498,106.3198,249.6751,262.1339,0,U,29758,999,92700,.79236E-2,.22153E-3,0
FENGYUN 1C DEB,1999-025BA,2024-12-30T10:39:34.146144,14.07901630,.0132295,98.7615,11.5863,74.0286,287.5412,0,U,29760,999,92205,.60432E-3,.107E-4,0
FENGYUN 1C DEB,1999-025BC,2024-12-31T22:11:38.465664,14.21781475,.0205311,98.5463,353.3472,260.3412,116.8580,0,U,29762,999,93033,.10054E-2,.2695E-4,0
FENGYUN 1C DEB,1999-025BD,2024-12-31T18:10:16.580640,14.07451943,.0129255,98.7246,351.0843,77.0290,96.2738,0,U,29763,999,92182,.60846E-3,.1064E-4,0
FENGYUN 1C DEB,1999-025BF,2024-12-31T19:50:04.548192,14.02014280,.0058342,98.8556,29.3488,336.2607,196.9417,0,U,29765,999,91903,.39961E-3,.575E-5,0
FENGYUN 1C DEB,1999-025BG,2024-12-31T21:07:45.408288,13.95149255,.0148919,98.6582,330.4302,166.8343,212.9222,0,U,29766,999,90978,.26403E-2,.387E-4,0
