OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GLOBALSTAR M001,1998-008A,2025-01-01T00:59:03.842016,12.38204685,.0001112,52.0033,99.7141,223.1571,308.4214,0,U,25162,999,22311,.50148E-4,-.9E-6,0
GLOBALSTAR M004,1998-008B,2024-12-31T20:11:19.539168,12.63383759,.0001935,51.9972,204.6808,287.9344,192.4609,0,U,25163,999,24053,.28165E-3,-.53E-6,0
GLOBALSTAR M002,1998-008C,2024-12-31T20:52:09.990912,11.61506500,.0000774,52.0031,299.7258,182.6116,177.4700,0,U,25164,999,16462,-.85742E-3,-.12E-5,0
GLOBALSTAR M003,1998-008D,2025-01-01T03:33:07.015104,12.12063267,.0007873,51.9985,271.1428,321.4700,189.8504,0,U,25165,999,21305,.12976E-2,.32E-6,0
GLOBALSTAR M014,1998-023A,2024-12-31T20:56:27.031776,11.65477522,.0002103,51.9812,226.4617,63.5182,310.5015,0,U,25306,999,17166,.78653E-3,-.36E-6,0
GLOBALSTAR M006,1998-023B,2024-12-31T20:42:32.800896,11.58170956,.0003379,51.9941,272.7057,148.8480,246.0538,0,U,25307,999,19744,.8618E-3,-.34E-6,0
GLOBALSTAR M015,1998-023C,2024-12-31T18:20:56.980032,11.48855432,.0012747,51.9847,3.7466,138.1654,32.7720,0,U,25308,999,17483,.13379E-3,-.68E-6,0
GLOBALSTAR M008,1998-023D,2024-12-31T22:06:15.414336,12.36059580,.0002276,51.9990,322.9999,176.0301,218.2402,0,U,25309,999,21716,.57519E-3,-.23E-6,0
GLOBALSTAR M023,1999-004A,2024-12-31T20:20:32.013600,12.62492841,.0010963,52.0079,202.9932,114.9806,7.9227,0,U,25621,999,19459,.35573E-3,-.4E-6,0
GLOBALSTAR M040,1999-004B,2024-12-31T19:30:10.884672,12.61996232,.000177,51.9891,207.0041,61.2033,312.7970,0,U,25622,999,19412,.40091E-3,-.32E-6,0
GLOBALSTAR M036,1999-004C,2024-12-31T22:17:31.655040,11.86586195,.0011171,51.9993,321.1757,91.4048,26.4630,0,U,25623,999,15912,.12977E-2,.6E-7,0
GLOBALSTAR M038,1999-004D,2024-12-31T21:10:13.750176,12.32517421,.0003035,51.9942,193.3885,74.8694,15.6715,0,U,25624,999,18174,.34709E-3,-.53E-6,0
GLOBALSTAR M022,1999-012A,2024-12-31T18:34:58.902240,12.02494107,.000242,52.0062,26.0049,193.1664,338.2708,0,U,25649,999,15623,-.11383E-4,-.88E-6,0
GLOBALSTAR M041,1999-012B,2025-01-01T01:55:30.116352,11.96667643,.0002621,52.0016,261.5333,11.1373,348.9521,0,U,25650,999,15852,.13406E-2,.19E-6,0
GLOBALSTAR M046,1999-012C,2024-12-31T21:29:06.597600,12.09402834,.0002061,52.0075,341.9170,285.2811,109.8499,0,U,25651,999,16342,.38009E-3,-.54E-6,0
GLOBALSTAR M037,1999-012D,2024-12-31T21:04:29.134272,12.62430567,.0001738,52.0024,333.5790,166.8203,227.4904,0,U,25652,999,19014,.38E-3,-.36E-6,0
GLOBALSTAR M045,1999-019A,2024-12-31T21:28:33.114144,12.27054034,.0000567,51.9982,62.0860,176.8163,354.6629,0,U,25676,999,17285,.26432E-3,-.64E-6,0
GLOBALSTAR M019,1999-019B,2024-12-31T21:11:01.740192,12.13871925,.000135,51.9851,180.7129,48.4941,99.2854,0,U,25677,999,16482,-.26389E-3,-.115E-5,0
GLOBALSTAR M044,1999-019C,2024-12-31T19:58:20.046144,11.90246964,.0007303,51.9963,111.2768,84.7477,62.6789,0,U,25678,999,15139,.99086E-3,-.13E-6,0
GLOBALSTAR M042,1999-019D,2024-12-31T19:44:39.095808,12.22076160,.0001954,51.9989,163.4253,330.9859,174.7983,0,U,25679,999,16479,.25628E-4,-.89E-6,0
GLOBALSTAR M025,1999-031A,2024-12-31T22:08:30.156864,11.22558540,.0001127,51.9774,186.7518,163.9590,345.9149,0,U,25770,999,46292,.65563E-4,-.65E-6,0
GLOBALSTAR M049,1999-031B,2024-12-31T19:25:09.417792,11.12112042,.0004676,51.9837,213.3673,89.7207,270.4125,0,U,25771,999,9880,-.34234E-3,-.75E-6,0
GLOBALSTAR M047,1999-031C,2024-12-31T19:20:56.202720,11.31925861,.0016181,51.9805,226.3360,340.0231,19.9940,0,U,25772,999,45215,-.65137E-4,-.72E-6,0
GLOBALSTAR M052,1999-031D,2024-12-31T14:52:56.329824,11.15056546,.000219,51.9896,324.8281,262.1430,268.6764,0,U,25773,999,45981,.55069E-3,-.49E-6,0
GLOBALSTAR M035,1999-037A,2024-12-31T17:18:43.687008,11.04534961,.0013893,51.9965,68.4295,73.5279,75.3901,0,U,25851,999,7775,.22296E-3,-.58E-6,0
GLOBALSTAR M032,1999-037B,2024-12-31T20:24:09.259488,11.19055154,.0010048,51.9949,264.8855,248.1340,111.8392,0,U,25852,999,11605,.25859E-3,-.59E-6,0
GLOBALSTAR M051,1999-037C,2024-12-31T13:19:38.290656,11.42199848,.0000711,51.9801,85.2827,224.8437,135.2316,0,U,25853,999,11323,.17404E-3,-.65E-6,0
GLOBALSTAR M030,1999-037D,2024-12-31T19:29:37.618944,11.55102314,.0004373,51.9872,261.4134,99.6671,260.4640,0,U,25854,999,13070,.15935E-2,0,0
GLOBALSTAR M048,1999-041A,2024-12-31T17:34:40.465056,11.33852953,.001325,51.9397,13.4157,254.4754,277.0757,0,U,25872,999,10598,.50248E-3,-.51E-6,0
GLOBALSTAR M026,1999-041B,2024-12-31T22:07:45.234912,11.06826387,.0001453,51.9970,187.6994,25.3746,150.8428,0,U,25873,999,12996,.3952E-4,-.63E-6,0
GLOBALSTAR M043,1999-041C,2024-12-31T17:36:56.328192,11.25689215,.001311,51.9393,114.3822,30.7333,139.8433,0,U,25874,999,10401,.51179E-3,-.51E-6,0
GLOBALSTAR M028,1999-041D,2024-12-31T15:09:31.154112,12.50573816,.0063685,51.9644,332.6845,67.4509,293.3076,0,U,25875,999,16921,.66531E-3,.2E-7,0
GLOBALSTAR M024,1999-043A,2024-12-31T20:09:09.806976,11.10165018,.00018,52.0044,38.2160,173.7616,356.7914,0,U,25883,999,9627,.22608E-2,-.1E-7,0
GLOBALSTAR M027,1999-043B,2024-12-31T14:17:26.289024,11.04370431,.0021884,52.0204,111.9997,82.5106,277.8172,0,U,25884,999,12272,-.29717E-2,-.142E-5,0
GLOBALSTAR M054,1999-043C,2024-12-31T19:06:56.551104,11.39213689,.0005025,52.0137,266.9472,254.8426,145.7105,0,U,25885,999,9997,.41348E-2,.91E-6,0
GLOBALSTAR M053,1999-043D,2024-12-31T21:56:02.759712,11.27662236,.000406,51.9945,204.4772,137.5691,3.6526,0,U,25886,999,10057,.66833E-3,-.46E-6,0
GLOBALSTAR M058,1999-049A,2024-12-31T20:26:03.726528,11.93191372,.0001329,51.9907,196.0042,1.1275,358.9562,0,U,25907,999,52156,.17319E-3,-.72E-6,0
GLOBALSTAR M050,1999-049B,2024-12-31T20:14:10.008960,12.07447619,.0010307,51.9964,216.2048,60.8287,53.3038,0,U,25908,999,12797,.13205E-2,.29E-6,0
GLOBALSTAR M033,1999-049C,2024-12-31T18:18:42.697152,12.20294280,.0012156,51.9912,99.8191,276.8849,83.0615,0,U,25909,999,51530,-.10331E-3,-.102E-5,0
GLOBALSTAR M055,1999-049D,2024-12-31T18:39:21.460608,12.29417958,.0007958,52.0012,118.6760,141.1615,218.9809,0,U,25910,999,14769,.13092E-3,-.79E-6,0
GLOBALSTAR M057,1999-058A,2024-12-31T15:45:52.383456,12.24806039,.0002649,51.9982,103.6475,54.6485,305.4612,0,U,25943,999,14640,.28465E-3,-.62E-6,0
GLOBALSTAR M059,1999-058B,2024-12-31T21:44:24.563904,11.99972657,.0000834,52.0034,299.7219,30.6340,356.4265,0,U,25944,999,55396,-.40892E-3,-.119E-5,0
GLOBALSTAR M056,1999-058C,2024-12-31T14:38:48.655968,12.04775594,.0000356,51.9981,306.7810,205.8497,325.1261,0,U,25945,999,14242,.59935E-3,-.36E-6,0
GLOBALSTAR M031,1999-058D,2024-12-31T21:35:52.486656,12.16025811,.0001384,51.9929,208.3377,145.7479,299.4754,0,U,25946,999,14419,.13065E-2,.38E-6,0
GLOBALSTAR M039,1999-062A,2024-12-31T20:33:16.257024,12.62314290,.0002213,51.9858,58.3692,344.0138,16.0658,0,U,25961,999,15908,.40392E-3,-.31E-6,0
GLOBALSTAR M034,1999-062B,2024-12-31T18:16:13.789344,11.79438786,.0014643,51.9878,86.5967,87.4660,59.3942,0,U,25962,999,11863,.22216E-2,.59E-6,0
GLOBALSTAR M029,1999-062C,2024-12-31T22:22:29.911296,11.99889958,.0003435,51.9770,187.8295,130.1151,20.4486,0,U,25963,999,14904,.31203E-3,-.61E-6,0
GLOBALSTAR M061,1999-062D,2024-12-31T11:25:34.921632,11.76769600,.0006708,51.9793,269.1500,15.5782,155.5561,0,U,25964,999,10143,.74173E-3,-.35E-6,0
GLOBALSTAR M063,2000-008A,2024-12-31T21:47:14.509248,11.86167996,.0004753,51.9919,192.1250,7.3936,138.9804,0,U,26081,999,13772,.19513E-3,-.69E-6,0
GLOBALSTAR M062,2000-008B,2024-12-31T20:35:11.246784,12.43456511,.0007896,51.9829,227.8454,109.4378,359.8897,0,U,26082,999,47580,-.32465E-3,-.144E-5,0
GLOBALSTAR M060,2000-008C,2024-12-31T18:54:13.949280,12.17652567,.0004329,51.9990,164.3749,131.7328,5.7464,0,U,26083,999,13197,.6924E-3,-.21E-6,0
GLOBALSTAR M064,2000-008D,2024-12-31T20:51:41.668992,11.88528357,.0002078,52.0045,293.0279,80.4512,279.6556,0,U,26084,999,14720,.10009E-2,-.13E-6,0
GLOBALSTAR M065,2007-020A,2024-12-31T19:39:41.131584,12.61990532,.0010043,51.9912,15.6782,295.4642,234.6281,0,U,31571,999,81227,.77153E-3,.34E-6,0
GLOBALSTAR M069,2007-020C,2024-12-31T17:02:01.802976,12.53308121,.000043,51.9971,336.2171,85.8544,85.5436,0,U,31573,999,81331,.25215E-3,-.61E-6,0
GLOBALSTAR M072,2007-020D,2024-12-31T17:21:51.224256,11.95103701,.0001049,52.0084,77.8554,85.5639,92.8466,0,U,31574,999,81149,-.23637E-3,-.103E-5,0
GLOBALSTAR M071,2007-020F,2024-12-31T16:40:34.011840,12.31891391,.0001935,52.0084,340.6949,64.9020,106.3769,0,U,31576,999,47451,.23383E-3,-.67E-6,0
GLOBALSTAR M067,2007-048A,2024-12-31T18:39:16.096032,12.40663695,.0001201,51.9701,165.7841,53.9118,78.1290,0,U,32263,999,78870,.54475E-4,-.9E-6,0
GLOBALSTAR M070,2007-048B,2025-01-01T03:51:41.516352,12.62309162,.0000929,51.9754,277.3321,66.4382,78.2341,0,U,32264,999,79355,.44219E-3,-.25E-6,0
GLOBALSTAR M066,2007-048C,2024-12-31T22:11:33.604800,12.42169005,.0001601,51.9650,151.8543,102.6619,75.2590,0,U,32265,999,79459,-.11996E-3,-.114E-5,0
GLOBALSTAR M068,2007-048D,2024-12-31T14:37:03.006048,12.62812691,.0001732,51.9888,93.0858,126.1702,13.8950,0,U,32266,999,79638,.68931E-4,-.91E-6,0
GLOBALSTAR M079,2010-054A,2024-12-31T20:42:40.794624,12.62269126,.0000527,52.0049,289.1509,36.3041,32.3846,0,U,37188,999,65532,.26105E-3,-.57E-6,0
GLOBALSTAR M074,2010-054B,2024-12-31T21:22:47.720640,12.62260950,.0000893,52.0026,288.4132,54.6136,21.3189,0,U,37189,999,65593,.29951E-3,-.5E-6,0
GLOBALSTAR M076,2010-054C,2024-12-31T21:45:46.095264,12.62275494,.0000841,52.0038,288.5212,33.9845,354.1293,0,U,37190,999,65565,.218E-3,-.65E-6,0
GLOBALSTAR M077,2010-054D,2024-12-31T21:53:14.057664,12.62269292,.000098,52.0058,245.3151,69.1419,41.7338,0,U,37191,999,65602,.26638E-3,-.56E-6,0
GLOBALSTAR M075,2010-054E,2024-12-31T22:06:47.384928,12.62270910,.0000509,51.9967,330.8247,57.7760,337.6357,0,U,37192,999,65472,.17928E-3,-.72E-6,0
