OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2024-12-31T19:34:05.060640,14.34704939,.0005883,86.3878,213.2739,263.5470,96.5056,0,U,24946,999,42874,.2796E-3,.811E-5,0
IRIDIUM 33 DEB,1997-051L,2024-12-31T20:01:06.625344,14.42093719,.0009965,86.4022,206.9312,210.3041,149.7584,0,U,33773,999,83360,.10841E-2,.3583E-4,0
IRIDIUM 33 DEB,1997-051N,2024-12-31T20:43:55.609248,14.39815844,.0012932,86.3661,196.9446,221.5695,267.6389,0,U,33775,999,83160,.15569E-2,.4907E-4,0
IRIDIUM 33 DEB,1997-051P,2024-12-31T20:22:59.401632,14.37318523,.0012569,86.4044,225.8003,251.9994,119.5194,0,U,33776,999,83112,.97267E-3,.2922E-4,0
IRIDIUM 33 DEB,1997-051Q,2024-12-31T18:34:49.417248,14.51946542,.0008921,86.3807,185.1742,3.8550,356.2723,0,U,33777,999,83507,.29849E-2,.12077E-3,0
IRIDIUM 33 DEB,1997-051T,2024-12-31T23:07:02.157024,14.40583815,.0010062,86.3439,178.6384,225.9215,296.2928,0,U,33850,999,83171,.16912E-2,.5411E-4,0
IRIDIUM 33 DEB,1997-051W,2024-12-31T20:01:59.969568,13.97101125,.021795,86.0021,141.2175,215.9219,299.3921,0,U,33853,999,80512,.78861E-2,.13495E-3,0
IRIDIUM 33 DEB,1997-051AC,2024-12-30T19:48:59.082048,14.80432897,.0023207,86.3286,164.3410,150.3660,209.8882,0,U,33859,999,83357,.99373E-2,.77056E-3,0
IRIDIUM 33 DEB,1997-051AD,2024-12-31T18:02:18.259872,14.60337194,.0011643,86.3875,179.4704,76.6675,294.6004,0,U,33860,999,83660,.35859E-2,.17394E-3,0
IRIDIUM 33 DEB,1997-051AF,2024-12-31T19:24:06.348384,14.61887643,.0054626,86.4122,189.2122,173.4770,197.6665,0,U,33862,999,83754,.5851E-2,.30004E-3,0
IRIDIUM 33 DEB,1997-051AH,2024-12-31T11:59:23.160768,15.00602171,.0008323,86.2613,82.1711,244.6506,126.7581,0,U,33864,999,83924,.12006E-1,.154878E-2,0
IRIDIUM 33 DEB,1997-051AK,2024-12-31T02:59:18.502080,14.22228629,.011075,86.3004,239.2850,191.8920,321.0038,0,U,33866,999,81877,.3043E-2,.7207E-4,0
IRIDIUM 33 DEB,1997-051AL,2024-12-31T16:37:53.624928,14.92428707,.0016563,86.4003,154.4413,213.7026,146.3150,0,U,33867,999,84286,.45048E-2,.46534E-3,0
IRIDIUM 33 DEB,1997-051AP,2024-12-31T20:04:32.903616,14.43127639,.0019815,86.3765,206.1085,250.6124,120.8024,0,U,33870,999,83143,.23794E-2,.8026E-4,0
IRIDIUM 33 DEB,1997-051AT,2024-12-31T05:23:24.905184,14.81883461,.0022449,86.2749,164.8202,33.1138,140.2547,0,U,33874,999,82856,.13848E-1,.111674E-2,0
IRIDIUM 33 DEB,1997-051BA,2024-12-31T11:15:18.777312,14.45564823,.0058185,86.3883,256.0579,252.7691,281.5860,0,U,33881,999,82473,.78184E-2,.28284E-3,0
IRIDIUM 33 DEB,1997-051BD,2024-12-31T17:40:07.660128,14.66791394,.0012787,86.3695,165.0345,76.5760,294.6011,0,U,33884,999,83754,.51947E-2,.29115E-3,0
IRIDIUM 33 DEB,1997-051BF,2024-12-31T22:24:25.809120,14.35433374,.0012568,86.3843,212.5991,302.7643,167.3093,0,U,33886,999,83090,.60474E-3,.1757E-4,0
IRIDIUM 33 DEB,1997-051BG,2024-12-31T19:51:52.314912,14.36721122,.0004635,86.3072,152.3645,302.7508,200.1618,0,U,33887,999,83197,.61737E-3,.1838E-4,0
IRIDIUM 33 DEB,1997-051BN,2024-12-31T19:55:26.111712,14.50976130,.001804,86.3892,203.2341,174.3279,197.2168,0,U,33953,999,83280,.32056E-2,.12727E-3,0
IRIDIUM 33 DEB,1997-051BU,2024-12-31T19:31:56.959680,15.25331872,.0026954,86.3598,205.1753,334.6035,25.3884,0,U,33959,999,82951,.41537E-1,.1157938E-1,0
IRIDIUM 33 DEB,1997-051BV,2024-12-31T13:14:04.155936,14.71392332,.0003994,86.2646,90.6802,194.7923,230.0539,0,U,33960,999,83753,.6185E-2,.38478E-3,0
IRIDIUM 33 DEB,1997-051CA,2024-12-31T19:55:58.441728,15.51812274,.0021839,86.3231,139.5214,316.3702,43.5830,0,U,33965,999,83991,.17223E-1,.1146808E-1,0
IRIDIUM 33 DEB,1997-051CB,2024-12-31T21:21:53.375040,14.47358727,.0006126,86.3941,194.1129,286.7461,140.7981,0,U,33966,999,83435,.18827E-2,.6918E-4,0
IRIDIUM 33 DEB,1997-051CE,2024-12-31T17:37:54.407136,14.46957042,.0007458,86.3483,167.8981,173.8955,186.2340,0,U,34071,999,83326,.24038E-2,.8758E-4,0
IRIDIUM 33 DEB,1997-051CL,2024-12-31T12:28:26.061312,14.56943401,.0012156,86.3902,202.9655,116.9840,272.4570,0,U,34077,999,83277,.42396E-2,.19106E-3,0
IRIDIUM 33 DEB,1997-051CN,2024-12-31T21:58:00.224832,14.71472385,.0007745,86.3834,164.4830,91.0710,69.5597,0,U,34079,999,83869,.58015E-2,.36159E-3,0
IRIDIUM 33 DEB,1997-051CV,2024-12-31T17:33:19.326816,15.12682691,.0008669,86.3676,185.0820,25.9677,96.9554,0,U,34086,999,4151,.16111E-1,.293229E-2,0
IRIDIUM 33 DEB,1997-051CX,2024-12-31T11:18:01.737216,14.72083729,.0008239,86.3927,187.2051,2.2943,26.4990,0,U,34088,999,83615,.53943E-2,.34088E-3,0
IRIDIUM 33 DEB,1997-051DA,2024-12-31T13:21:58.453920,14.61401641,.0050086,86.3593,222.0914,61.1345,299.4879,0,U,34091,999,82779,.78548E-2,.39762E-3,0
IRIDIUM 33 DEB,1997-051DG,2024-12-31T15:58:51.306240,14.30886100,.0086379,86.2019,153.7065,45.3572,315.4621,0,U,34097,999,82163,.40963E-2,.11225E-3,0
IRIDIUM 33 DEB,1997-051DM,2024-12-31T18:56:58.245792,15.18789403,.0007246,86.3352,254.4123,262.4922,139.6688,0,U,34102,999,82403,.2863E-1,.633034E-2,0
IRIDIUM 33 DEB,1997-051DR,2024-12-31T19:43:08.997888,15.02803754,.0007233,86.3340,134.1964,327.1498,192.8716,0,U,34106,999,83994,.11804E-1,.161449E-2,0
IRIDIUM 33 DEB,1997-051DS,2024-12-31T19:12:38.780640,15.29676630,.0019085,86.3773,140.9682,336.0537,158.3591,0,U,34107,999,84103,.19474E-1,.600336E-2,0
IRIDIUM 33 DEB,1997-051DY,2024-12-31T14:27:52.651008,14.38835737,.0057638,86.2150,126.2592,152.3847,208.0434,0,U,34145,999,82654,.47328E-2,.14878E-3,0
IRIDIUM 33 DEB,1997-051DZ,2024-12-31T20:38:26.701728,14.45713719,.0029007,86.2859,142.1726,296.4414,217.1739,0,U,34146,999,83103,.33937E-2,.12106E-3,0
IRIDIUM 33 DEB,1997-051EN,2024-12-31T19:14:39.836544,14.37147062,.0028561,86.3523,195.5015,345.2563,14.7798,0,U,34159,999,82988,.1366E-2,.4097E-4,0
IRIDIUM 33 DEB,1997-051ES,2024-12-31T16:05:17.253312,14.44025992,.0020943,86.3305,152.7907,202.7923,289.0656,0,U,34350,999,83296,.1637E-2,.5631E-4,0
IRIDIUM 33 DEB,1997-051FJ,2024-12-31T13:13:51.093984,14.49409747,.0020701,86.3711,199.2244,220.3305,164.9771,0,U,34366,999,83159,.31754E-2,.12205E-3,0
IRIDIUM 33 DEB,1997-051FT,2024-12-31T20:50:55.521888,14.16955521,.0104434,86.4314,322.0962,144.4874,245.9566,0,U,34375,999,81812,.12655E-2,.2698E-4,0
IRIDIUM 33 DEB,1997-051FU,2024-12-31T16:47:33.473472,14.54193480,.0029272,86.3051,161.0239,267.7647,92.0208,0,U,34376,999,82962,.60526E-2,.25851E-3,0
IRIDIUM 33 DEB,1997-051GB,2024-12-31T17:10:17.473728,14.77469098,.001302,86.4027,169.2674,272.2697,98.7034,0,U,34486,999,83846,.5476E-2,.39267E-3,0
IRIDIUM 33 DEB,1997-051GC,2024-12-31T17:13:43.136832,14.42441419,.0030836,86.3459,161.2315,191.4667,180.4109,0,U,34487,999,83259,.96386E-3,.3226E-4,0
IRIDIUM 33 DEB,1997-051GD,2024-12-31T17:27:15.563808,14.88119783,.0016117,86.3352,110.6091,186.3781,173.7242,0,U,34488,999,84036,.64559E-2,.60011E-3,0
IRIDIUM 33 DEB,1997-051GH,2024-12-30T18:31:11.157024,14.13324108,.0230355,86.4832,113.4368,265.9079,249.1376,0,U,34492,999,80136,.1412E-1,.3425E-3,0
IRIDIUM 33 DEB,1997-051GN,2024-12-31T18:52:31.039104,14.25621021,.0083372,86.2795,199.8776,12.7737,0.0665,0,U,34497,999,81951,.1831E-2,.4515E-4,0
IRIDIUM 33 DEB,1997-051GU,2024-12-31T04:13:26.835456,15.11610889,.0005949,86.2964,73.2759,10.1968,349.9390,0,U,34503,999,84278,.5346E-2,.91847E-3,0
IRIDIUM 33 DEB,1997-051GZ,2024-12-31T09:52:05.035296,14.34878499,.0066084,86.3715,248.9057,227.6911,131.8674,0,U,34508,999,82336,.317E-2,.9251E-4,0
IRIDIUM 33 DEB,1997-051HN,2024-12-31T05:29:59.666784,14.57643191,.0004585,86.3821,182.3516,19.1522,340.9858,0,U,34521,999,83414,.34182E-2,.15622E-3,0
IRIDIUM 33 DEB,1997-051HS,2024-12-31T11:39:33.533856,14.41495117,.0005323,86.3743,194.3936,135.8319,252.5188,0,U,34525,999,83097,.12858E-2,.4193E-4,0
IRIDIUM 33 DEB,1997-051HW,2024-12-31T05:53:30.436224,14.39958985,.0003508,86.3668,182.9926,259.8378,100.2425,0,U,34529,999,83154,.54854E-3,.1745E-4,0
IRIDIUM 33 DEB,1997-051JF,2024-12-31T21:09:38.332224,14.39797792,.0037216,86.2785,156.6637,23.5999,129.9023,0,U,34538,999,82774,.28503E-2,.9034E-4,0
IRIDIUM 33 DEB,1997-051JH,2024-12-31T18:52:00.033600,14.67054549,.0019299,86.3165,104.6495,286.7336,233.2159,0,U,34540,999,83934,.37251E-2,.21016E-3,0
IRIDIUM 33 DEB,1997-051JZ,2024-12-30T21:18:15.614208,14.04886582,.0197148,86.4037,61.0112,301.9800,56.2348,0,U,34648,999,80138,.11051E-1,.21179E-3,0
IRIDIUM 33 DEB,1997-051KC,2024-12-31T18:30:15.642432,14.20021734,.0154539,86.2824,287.0779,232.3788,126.3291,0,U,34651,999,80975,.83077E-2,.19977E-3,0
IRIDIUM 33 DEB,1997-051KD,2024-12-31T15:34:29.489088,14.57730388,.0031,86.3346,133.5622,32.5526,338.8567,0,U,34652,999,83434,.27318E-2,.12588E-3,0
IRIDIUM 33 DEB,1997-051KM,2024-12-31T18:58:37.007904,14.52146800,.0012361,86.3822,186.9798,95.5240,276.4939,0,U,34690,999,83068,.24227E-2,.985E-4,0
IRIDIUM 33 DEB,1997-051KQ,2024-12-31T18:23:14.254080,14.87256814,.0016598,86.3259,108.8860,197.5009,314.6911,0,U,34693,999,83715,.65689E-2,.59787E-3,0
IRIDIUM 33 DEB,1997-051KT,2024-12-30T12:03:18.806400,14.44657200,.0098675,86.1990,186.1720,257.7022,129.9491,0,U,34696,999,81624,.11691E-1,.43225E-3,0
IRIDIUM 33 DEB,1997-051KZ,2024-12-31T14:16:03.207648,15.05854426,.0018428,86.2907,62.6008,41.6844,318.5792,0,U,34702,999,84252,.6041E-2,.88986E-3,0
