OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 106,2017-003A,2024-12-31T16:36:22.102272,14.34218592,.0002009,86.3975,311.0472,91.6226,268.5200,0,U,41917,999,41688,.57163E-4,.18E-5,0
IRIDIUM 103,2017-003B,2024-12-31T21:19:29.623584,14.34223899,.0001618,86.3975,310.8662,72.6753,287.4619,0,U,41918,999,41693,.34846E-3,.996E-5,0
IRIDIUM 109,2017-003C,2024-12-31T18:07:42.255552,14.34217828,.0002155,86.3976,310.9726,77.7684,282.3753,0,U,41919,999,41688,.14604E-4,.61E-6,0
IRIDIUM 102,2017-003D,2024-12-31T14:01:05.657664,14.34214218,.0002334,86.3977,310.9790,85.2290,274.9173,0,U,41920,999,41694,-.27341E-5,.12E-6,0
IRIDIUM 105,2017-003E,2024-12-31T11:38:27.769632,14.34231539,.0002025,86.3970,279.4421,85.0732,275.0695,0,U,41921,999,41878,.37948E-3,.1083E-4,0
IRIDIUM 104,2017-003F,2024-12-31T17:40:18.179328,14.34218282,.0002228,86.3977,310.9499,70.8114,289.3323,0,U,41922,999,41695,.95949E-4,.288E-5,0
IRIDIUM 114,2017-003G,2024-12-31T17:49:26.207616,14.34217451,.0001872,86.3976,310.9324,81.9290,278.2118,0,U,41923,999,41693,.16913E-4,.67E-6,0
IRIDIUM 108,2017-003H,2025-01-01T02:52:30.041760,14.34222495,.0002064,86.3965,279.0888,89.3225,270.8207,0,U,41924,999,41886,.27978E-3,.803E-5,0
IRIDIUM 112,2017-003J,2024-12-31T19:11:37.954176,14.34221917,.0002316,86.3971,310.7748,77.5392,282.6062,0,U,41925,999,41696,.30001E-3,.86E-5,0
IRIDIUM 111,2017-003K,2024-12-31T20:33:50.117184,14.34219693,.0002046,86.3975,310.8098,84.4020,275.7409,0,U,41926,999,41695,.16084E-3,.47E-5,0
