OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,SATELLITE_TYPE
CUTE-1 (CO-55),2003-031E,2024-12-31T22:55:56.846784,14.23737601,0.0008725,98.6776,11.3005,293.8546,66.1718,0,U,27844,999,11592,0.00062873,1.393e-05,0.0,7190.877184786641,CubeSat
CUBESAT XI-IV (CO-57),2003-031J,2024-12-30T11:53:16.911168,14.23107145,0.0008828,98.6804,9.9829,316.8669,43.1817,0,U,27848,999,11545,0.00054607,1.189e-05,0.0,7193.000799541442,CubeSat
CUBESAT XI-V,2005-043F,2024-12-31T08:06:46.766592,14.69783433,0.0016001,98.225,143.0623,94.5347,265.7687,0,U,28895,999,2339,0.00099531,5.903e-05,0.0,7039.8965305146185,CubeSat
CUTE-1.7+APD II (CO-65),2008-021C,2024-12-31T19:48:51.446880,15.01274184,0.0011784,97.7702,331.3677,53.0196,307.2105,0,U,32785,999,90508,0.0010726,0.00013768,0.0,6941.103127481313,CubeSat
AAUSAT-II,2008-021F,2024-12-30T16:59:13.873344,15.39440892,0.0004057,97.6043,349.3562,130.9842,229.1754,0,U,32788,999,90830,0.0025735,0.00101973,0.0,6825.898545447559,CubeSat
CANX-2,2008-021H,2024-12-30T15:50:39.171840,14.99077033,0.0013596,97.7953,328.7501,48.4298,311.8088,0,U,32790,999,90476,0.0010983,0.00013317,0.0,6947.883712407913,CubeSat
SEEDS II (CO-66),2008-021J,2024-12-31T16:02:11.554656,15.12036772,0.000549,97.7126,338.077,23.8385,336.3098,0,U,32791,999,90627,0.001627,0.00027992,0.0,6908.126355343242,CubeSat
SWISSCUBE,2009-051B,2024-12-31T15:26:40.078752,14.60509912,0.0008256,98.4477,253.7997,69.3645,290.8439,0,U,35932,999,81136,0.0009843,4.731e-05,0.0,7069.665008161548,CubeSat
BEESAT-1,2009-051C,2024-12-31T15:04:25.309344,14.60045994,0.0006696,98.4407,254.4097,80.7718,279.4238,0,U,35933,999,81142,0.0008501,4.037e-05,0.0,7071.162482078481,CubeSat
ITUPSAT1,2009-051E,2025-01-01T03:11:49.021728,14.58904949,0.000892,98.4504,254.588,86.2111,274.0107,0,U,35935,999,81114,0.0008306,3.846e-05,0.0,7074.849020259869,CubeSat
TISAT 1,2010-035E,2024-12-31T11:37:54.499584,15.10256456,0.0002529,98.0699,265.2486,312.42,47.6813,0,U,36799,999,78675,0.0016766,0.00027451,0.0,6913.55423385021,CubeSat
AEROCUBE 4.5A,2012-048K,2024-12-30T12:34:23.837664,15.21795555,0.0111027,64.6528,37.8514,317.9001,41.3633,0,U,38767,999,29021,0.0016017,0.00043329,0.0,6878.561646466735,CubeSat
AEROCUBE 4.5B,2012-048L,2024-12-31T19:00:57.813120,15.602712,0.0058234,64.6437,295.8758,305.5741,53.9983,0,U,38768,999,29182,0.0021886,0.00199707,0.0,6765.0100561592035,CubeSat
STRAND-1,2013-009E,2024-12-31T23:33:35.608896,14.36553485,0.0009299,98.3766,189.8964,27.9918,332.1767,0,U,39090,999,62065,0.00048346,1.379e-05,0.0,7148.04549448584,CubeSat
