OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ORBCOMM-X,1991-050C,2024-12-31T17:31:16.036608,14.43008405,.0003242,98.3671,70.5886,351.0626,9.0506,0,U,21576,999,75796,.40676E-3,.1319E-4,0
ORBCOMM FM01,1995-017A,2024-12-31T14:26:47.088096,14.86384220,.0006146,69.9655,130.9832,248.8099,111.2397,0,U,23545,999,58757,.20444E-2,.18034E-3,0
ORBCOMM FM02,1995-017B,2024-12-31T16:05:00.201408,14.86478949,.0007531,69.9664,150.5116,238.6489,121.3927,0,U,23546,999,58722,.27796E-2,.24635E-3,0
ORBCOMM FM08,1997-084A,2024-12-31T23:31:15.616704,14.44715979,.0005458,45.0140,89.9393,145.0060,215.1150,0,U,25112,999,41735,.201E-2,.6903E-4,0
ORBCOMM FM10,1997-084B,2024-12-31T17:31:37.604640,14.44534814,.0002542,45.0152,93.2382,109.3366,250.7760,0,U,25113,999,59229,.16813E-2,.5727E-4,0
ORBCOMM FM11,1997-084C,2024-12-31T15:18:31.992192,14.44318404,.0003456,45.0136,94.0235,105.8272,254.2960,0,U,25114,999,41724,.18847E-2,.6409E-4,0
ORBCOMM FM12,1997-084D,2024-12-31T17:46:15.089952,14.44321064,.0002426,45.0145,93.2923,110.7769,249.3342,0,U,25115,999,41705,.17453E-2,.5924E-4,0
ORBCOMM FM09,1997-084E,2024-12-31T18:14:23.345952,14.44235296,.000339,45.0147,93.9833,80.7281,279.3953,0,U,25116,999,41726,.16604E-2,.5618E-4,0
ORBCOMM FM05,1997-084F,2024-12-31T16:25:20.145216,14.44835364,.0001175,45.0148,91.6896,190.1564,169.9264,0,U,25117,999,41637,.17869E-2,.6135E-4,0
ORBCOMM FM06,1997-084G,2024-12-31T19:00:25.523712,14.45016697,.0001722,45.0141,91.1175,224.6461,287.1920,0,U,25118,999,41730,.18356E-2,.633E-4,0
ORBCOMM FM07,1997-084H,2024-12-31T16:51:21.312864,14.44897910,.0000964,45.0136,92.2687,148.9474,211.1434,0,U,25119,999,41728,.18349E-2,.6312E-4,0
ORBCOMM FM03,1998-007B,2024-12-31T15:43:49.869984,14.33721010,.0046603,107.9667,151.5990,184.9829,175.0851,0,U,25158,999,40002,.20047E-2,.5518E-4,0
ORBCOMM FM04,1998-007C,2024-12-31T21:05:44.006784,14.33991893,.0042102,107.9654,155.1628,182.4961,177.5973,0,U,25159,999,40023,.19548E-2,.5394E-4,0
ORBCOMM FM17,1998-046A,2024-12-31T20:59:40.822656,14.34445764,.0001618,44.9952,326.8891,39.3237,320.7726,0,U,25413,999,37914,.1423E-2,.3905E-4,0
ORBCOMM FM18,1998-046B,2024-12-31T20:52:43.041504,14.37657316,.000413,44.9915,248.6364,148.1843,211.9255,0,U,25414,999,38016,.166E-2,.4894E-4,0
ORBCOMM FM19,1998-046C,2024-12-31T21:11:36.040128,14.37472551,.0003036,44.9928,250.3130,135.5793,323.3365,0,U,25415,999,38012,.16177E-2,.4747E-4,0
ORBCOMM FM20,1998-046D,2024-12-31T21:49:44.944608,14.36538202,.0000618,44.9930,253.0928,62.2833,297.8078,0,U,25416,999,38020,.1181E-2,.336E-4,0
ORBCOMM FM16,1998-046E,2024-12-31T21:09:54.082080,14.37968573,.0003735,44.9922,246.8413,163.8216,196.2752,0,U,25417,999,38016,.15348E-2,.4543E-4,0
ORBCOMM FM15,1998-046F,2024-12-31T21:18:52.474176,14.37651682,.0003212,44.9955,251.4786,165.6806,194.4133,0,U,25418,999,38016,.1466E-2,.4304E-4,0
ORBCOMM FM14,1998-046G,2024-12-31T21:00:09.483264,14.37946186,.0002315,44.9944,250.2198,148.3575,211.7413,0,U,25419,999,38012,.14963E-2,.4423E-4,0
ORBCOMM FM13,1998-046H,2024-12-31T20:29:32.274528,14.36894445,.0004238,44.9963,256.7804,147.3051,212.8060,0,U,25420,999,37916,.13236E-2,.3812E-4,0
ORBCOMM FM21,1998-053A,2025-01-01T02:32:08.400192,14.36680594,.0001169,45.0093,340.3690,328.7470,31.3308,0,U,25475,999,37354,.14876E-2,.4282E-4,0
ORBCOMM FM22,1998-053B,2025-01-01T02:44:24.092736,14.37521113,.0001543,45.0086,336.4116,56.3098,303.7897,0,U,25476,999,37358,.16129E-2,.4737E-4,0
ORBCOMM FM23,1998-053C,2025-01-01T02:58:15.373056,14.36793369,.0001009,45.0092,342.5987,22.5148,337.5744,0,U,25477,999,37367,.16724E-2,.4844E-4,0
ORBCOMM FM24,1998-053D,2025-01-01T02:59:33.044928,14.37286382,.0000854,45.0090,340.7713,6.3443,353.7416,0,U,25478,999,37368,.16533E-2,.4836E-4,0
ORBCOMM FM25,1998-053E,2024-12-31T16:14:12.990336,14.37267434,.0002016,45.0081,341.1487,115.9743,244.1312,0,U,25479,999,37363,.18263E-2,.5355E-4,0
ORBCOMM FM26,1998-053F,2024-12-31T15:41:37.759200,14.36451620,.0003991,45.0078,336.5760,151.4497,208.6570,0,U,25480,999,37355,.14146E-2,.4046E-4,0
ORBCOMM FM27,1998-053G,2024-12-31T15:59:13.080768,14.37270787,.0001907,45.0064,341.4458,312.3523,47.7163,0,U,25481,999,37356,.17784E-2,.5211E-4,0
ORBCOMM FM28,1998-053H,2024-12-31T20:52:25.182624,14.37556925,.0002922,45.0054,278.2794,177.8460,182.2401,0,U,25482,999,37427,.15149E-2,.4444E-4,0
ORBCOMM FM30,1999-065A,2024-12-31T20:54:00.309888,14.36595504,.0006994,45.0293,161.3002,240.5209,119.4942,0,U,25980,999,31038,.13295E-2,.3806E-4,0
ORBCOMM FM31,1999-065B,2024-12-31T20:08:13.570080,14.36568085,.0004082,45.0207,155.0030,256.1380,103.9014,0,U,25981,999,30993,.13435E-2,.3845E-4,0
ORBCOMM FM32,1999-065C,2024-12-31T20:14:01.908960,14.35602225,.0005753,45.0133,170.4293,260.9529,99.0667,0,U,25982,999,31054,.12792E-2,.3582E-4,0
ORBCOMM FM33,1999-065D,2024-12-31T13:51:12.262464,14.39160520,.0010154,45.0288,75.3982,288.2432,71.7312,0,U,25983,999,31191,.15559E-2,.4726E-4,0
ORBCOMM FM36,1999-065E,2024-12-31T21:03:03.690720,14.37276568,.000461,45.0371,163.3253,182.5881,177.4944,0,U,25984,999,31034,.17065E-2,.4996E-4,0
ORBCOMM FM35,1999-065F,2024-12-31T19:30:21.065184,14.36400831,.0003545,45.0374,167.4077,259.1668,100.8781,0,U,25985,999,31071,.11743E-2,.3331E-4,0
ORBCOMM FM34,1999-065G,2024-12-31T20:28:08.357664,14.36442133,.000468,45.0367,167.7440,214.6155,145.4389,0,U,25986,999,31083,.13996E-2,.4001E-4,0
ORBCOMM FM38,2008-031A,2024-12-31T19:08:08.098080,14.79982010,.000547,48.4407,32.2474,28.6350,331.4865,0,U,33060,999,88994,.89755E-3,.6656E-4,0
ORBCOMM FM41,2008-031B,2024-12-31T20:32:10.229280,14.79616902,.0004872,48.4441,39.2025,12.4465,157.6446,0,U,33061,999,88944,.92608E-3,.6814E-4,0
ORBCOMM FM29,2008-031C,2024-12-31T20:21:11.183904,14.79653439,.0006548,48.4393,47.2128,13.8574,156.6075,0,U,33062,999,88935,.94934E-3,.6997E-4,0
ORBCOMM FM39,2008-031D,2024-12-31T16:35:09.199680,14.78372205,.0007671,48.4404,70.4859,348.6440,11.4300,0,U,33063,999,88900,.86078E-3,.6131E-4,0
ORBCOMM FM37,2008-031E,2024-12-31T15:25:22.107936,14.78577514,.0005933,48.4399,59.5141,4.3540,131.4166,0,U,33064,999,88924,.80319E-3,.5734E-4,0
ORBCOMM FM40,2008-031F,2024-12-31T15:53:02.279616,14.80501415,.0007218,48.4421,46.0737,17.1682,136.6955,0,U,33065,999,88932,.97651E-3,.7354E-4,0
VESSELSAT 1,2011-058C,2024-12-31T09:26:42.968832,14.11286964,.0013783,19.9634,29.1600,140.2945,219.8470,0,U,37840,999,68257,.19995E-3,.632E-5,0
ORBCOMM FM109,2014-040A,2024-12-31T16:44:44.921760,14.57561332,.0002759,47.0031,87.0220,282.5586,77.4991,0,U,40086,999,55662,.87924E-3,.3873E-4,0
ORBCOMM FM107,2014-040B,2024-12-31T17:37:04.046304,14.57693842,.0002386,47.0047,87.8751,250.5382,109.5246,0,U,40087,999,55670,.64879E-3,.2822E-4,0
ORBCOMM FM106,2014-040C,2024-12-31T20:40:27.033600,14.68616016,.0017273,47.0601,282.6360,9.1084,351.0116,0,U,40088,999,55887,.84338E-3,.4779E-4,0
ORBCOMM FM111,2014-040D,2024-12-31T21:23:53.574720,14.84601950,.0030016,47.0006,154.7323,114.7755,245.6269,0,U,40089,999,56535,.98435E-3,.8273E-4,0
ORBCOMM FM104,2014-040E,2024-12-31T17:56:30.930144,14.56144569,.0016589,47.0039,119.4396,163.6844,196.4578,0,U,40090,999,55621,.72634E-3,.3074E-4,0
ORBCOMM FM103,2014-040F,2024-12-31T16:46:51.104640,14.57633012,.0002939,47.0051,88.4999,245.5291,114.5288,0,U,40091,999,53966,.69325E-3,.3023E-4,0
ORBCOMM FM114,2015-081A,2024-12-31T10:51:58.924512,14.57693094,.0003047,47.0032,358.8202,300.1081,59.9502,0,U,41179,999,47999,.68048E-3,.2968E-4,0
ORBCOMM FM119,2015-081B,2024-12-31T21:52:47.316000,14.57611704,.0001208,46.9996,265.9018,354.2318,5.8553,0,U,41180,999,48131,.66049E-3,.287E-4,0
